,sexo,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,posse_de_veiculo_Y,posse_de_imovel_Y
55,M,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,False,False
56,F,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,False,False
57,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,False,False,False
58,F,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False,False,False
59,F,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False,False,False
60,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,True,False
61,M,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False,True,False
62,F,0,Working,Higher education,Separated,House / apartment,44.391780821917806,19.45205479452055,1,0,0,0,1.0,False,False,False
63,M,0,Working,Secondary / secondary special,Married,House / apartment,51.16164383561644,14.531506849315068,1,1,1,0,2.0,False,False,False
64,M,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False,True,False
65,M,0,Commercial associate,Lower secondary,Married,House / apartment,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,False,False,False
66,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.95068493150685,14.446575342465753,1,1,1,0,2.0,False,False,False
67,M,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False,True,False
68,M,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,False,True,False
69,F,2,Working,Higher education,Married,House / apartment,30.90684931506849,4.778082191780822,1,1,0,1,4.0,False,False,False
70,M,1,Working,Secondary / secondary special,Married,House / apartment,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,False,True,False
71,F,0,State servant,Higher education,Married,House / apartment,40.32328767123288,15.282191780821918,1,0,1,0,2.0,False,False,False
72,M,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False,False,False
73,F,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False,False,False
74,M,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,False,False,False
75,M,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False,False,False
76,F,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.88767123287671,1.2712328767123289,1,1,1,0,1.0,False,False,False
77,M,0,Working,Secondary / secondary special,Single / not married,Co-op apartment,22.416438356164385,3.608219178082192,1,1,0,0,1.0,False,False,False
78,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.32876712328768,-1000.6657534246576,1,0,0,0,2.0,False,False,False
79,F,0,State servant,Higher education,Married,House / apartment,47.32602739726028,3.6931506849315063,1,0,1,0,2.0,False,False,False
80,F,0,Working,Secondary / secondary special,Married,House / apartment,53.97808219178082,27.04109589041096,1,1,1,0,2.0,False,False,False
81,F,0,Commercial associate,Higher education,Married,House / apartment,36.276712328767125,12.194520547945206,1,0,1,0,2.0,False,False,False
82,F,0,Working,Secondary / secondary special,Married,Municipal apartment,33.23287671232877,2.186301369863014,1,0,0,0,2.0,False,False,False
83,F,2,Working,Secondary / secondary special,Married,House / apartment,26.673972602739727,7.863013698630137,1,0,0,0,4.0,False,False,False
84,M,0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.37260273972603,17.035616438356165,1,1,1,0,2.0,False,True,False
85,M,0,Commercial associate,Secondary / secondary special,Married,House / apartment,32.07123287671233,3.1890410958904107,1,1,0,1,2.0,False,True,False
86,F,0,Working,Higher education,Married,House / apartment,44.10958904109589,13.531506849315068,1,0,1,0,2.0,False,False,False
87,F,0,Working,Incomplete higher,Married,House / apartment,46.26849315068493,7.361643835616438,1,0,0,0,2.0,False,False,False
88,M,2,Working,Incomplete higher,Married,House / apartment,34.14520547945205,5.945205479452055,1,1,0,0,4.0,False,True,False
89,M,1,Working,Secondary / secondary special,Separated,Co-op apartment,32.87123287671233,3.1095890410958904,1,1,0,0,2.0,False,True,False
90,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.23287671232877,2.6904109589041094,1,0,1,0,2.0,False,True,False
91,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.53972602739726,4.778082191780822,1,1,1,0,2.0,False,True,False
92,F,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,51.54246575342466,26.70684931506849,1,0,0,0,2.0,False,False,False
93,F,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.62191780821918,-1000.6657534246576,1,0,1,0,1.0,False,False,False
94,M,0,Working,Secondary / secondary special,Married,House / apartment,41.515068493150686,8.610958904109589,1,1,1,0,2.0,False,True,False
95,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.4,-1000.6657534246576,1,0,0,0,2.0,False,False,False
96,F,0,Working,Secondary / secondary special,Separated,House / apartment,32.00547945205479,1.8575342465753424,1,0,0,0,1.0,False,False,False
97,F,0,Working,Secondary / secondary special,Separated,House / apartment,39.38082191780822,2.186301369863014,1,0,1,0,1.0,False,False,False
98,F,0,Working,Secondary / secondary special,Married,House / apartment,23.254794520547943,5.027397260273973,1,0,1,0,2.0,False,True,False
99,F,0,Working,Secondary / secondary special,Married,House / apartment,47.62465753424657,2.4383561643835616,1,1,1,0,2.0,False,True,False
100,F,0,Commercial associate,Higher education,Married,House / apartment,36.86301369863013,7.528767123287671,1,1,1,0,2.0,False,True,False
101,F,1,Working,Secondary / secondary special,Married,House / apartment,35.26575342465753,10.191780821917808,1,1,0,0,3.0,False,False,False
102,F,2,Working,Secondary / secondary special,Married,House / apartment,33.635616438356166,2.6904109589041094,1,1,1,0,4.0,False,False,False
103,M,0,Pensioner,Secondary / secondary special,Married,House / apartment,47.58082191780822,-1000.6657534246576,1,0,0,0,2.0,False,True,False
104,M,0,Working,Secondary / secondary special,Married,House / apartment,52.20821917808219,0.2712328767123287,1,1,0,0,2.0,False,True,False
105,F,0,Working,Secondary / secondary special,Married,House / apartment,52.89041095890411,9.03013698630137,1,1,0,0,2.0,False,False,False
106,F,0,Working,Secondary / secondary special,Married,House / apartment,52.89041095890411,9.03013698630137,1,1,0,0,2.0,True,False,False
107,F,0,Working,Secondary / secondary special,Married,House / apartment,27.095890410958905,5.608219178082192,1,0,1,0,2.0,False,False,False
108,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.701369863013696,-1000.6657534246576,1,0,1,0,2.0,False,False,False
109,M,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,23.257534246575343,2.5232876712328767,1,1,0,0,1.0,False,False,False
110,M,0,Working,Secondary / secondary special,Single / not married,House / apartment,40.24383561643835,10.03013698630137,1,1,0,0,1.0,False,False,False
111,F,0,State servant,Secondary / secondary special,Married,House / apartment,51.0958904109589,29.96164383561644,1,0,1,0,2.0,False,False,False
112,M,0,Working,Higher education,Single / not married,House / apartment,27.852054794520548,4.86027397260274,1,1,0,0,1.0,False,False,False
113,F,0,Pensioner,Secondary / secondary special,Separated,House / apartment,52.57808219178082,-1000.6657534246576,1,0,0,0,1.0,False,False,False
114,F,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.41917808219178,-1000.6657534246576,1,0,1,0,1.0,False,False,False
115,F,0,Pensioner,Secondary / secondary special,Separated,House / apartment,63.83287671232877,-1000.6657534246576,1,0,1,0,1.0,False,False,False
116,M,0,Commercial associate,Higher education,Married,Municipal apartment,35.61369863013699,4.273972602739726,1,0,1,1,2.0,False,True,False
117,M,0,Working,Secondary / secondary special,Single / not married,House / apartment,25.698630136986303,4.693150684931507,1,1,1,0,1.0,False,False,False
118,F,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.92054794520548,12.194520547945206,1,1,1,0,1.0,False,False,False
119,F,0,Working,Higher education,Married,House / apartment,27.087671232876712,6.778082191780822,1,0,1,0,2.0,False,False,False
120,M,0,Working,Secondary / secondary special,Married,House / apartment,36.10410958904109,3.608219178082192,1,1,0,0,2.0,False,True,False
121,F,0,Commercial associate,Higher education,Married,House / apartment,52.989041095890414,20.03835616438356,1,1,1,0,2.0,False,True,False
122,F,0,Working,Secondary / secondary special,Married,House / apartment,40.156164383561645,12.032876712328768,1,1,1,0,2.0,False,True,False
123,F,0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,False,True,False
124,F,0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,True,True,False
125,M,0,Working,Higher education,Single / not married,House / apartment,24.895890410958906,4.608219178082192,1,0,0,0,1.0,False,True,False
126,M,0,Working,Secondary / secondary special,Separated,House / apartment,38.67945205479453,8.695890410958905,1,0,0,0,1.0,False,False,False
127,M,2,State servant,Higher education,Married,Municipal apartment,40.83835616438356,18.7013698630137,1,1,0,0,4.0,False,True,False
128,F,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.27945205479452,-1000.6657534246576,1,0,1,0,1.0,False,False,False
129,F,0,Working,Higher education,Married,House / apartment,42.28767123287671,10.863013698630136,1,1,1,0,2.0,False,True,False
130,F,1,Working,Secondary / secondary special,Married,House / apartment,32.364383561643834,8.947945205479453,1,1,1,0,3.0,False,False,False
131,F,0,Working,Secondary / secondary special,Married,House / apartment,40.77534246575343,14.95068493150685,1,0,1,0,2.0,False,True,False
132,F,0,Working,Secondary / secondary special,Married,House / apartment,43.175342465753424,1.0246575342465754,1,1,0,0,2.0,False,False,False
133,M,0,Working,Higher education,Married,With parents,28.58904109589041,4.693150684931507,1,1,0,0,2.0,False,True,False
134,F,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,35.945205479452056,15.282191780821918,1,0,0,0,2.0,False,False,False
135,M,0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.61917808219178,1.1095890410958904,1,0,0,0,2.0,False,True,False
136,F,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,49.12876712328767,4.027397260273973,1,0,0,0,1.0,False,False,False
137,M,0,Working,Secondary / secondary special,Married,House / apartment,43.56438356164384,0.3561643835616438,1,1,0,0,2.0,False,True,False
138,M,0,Commercial associate,Higher education,Civil marriage,House / apartment,33.64931506849315,1.1095890410958904,1,0,1,0,2.0,False,False,False
139,F,0,Commercial associate,Higher education,Married,House / apartment,27.627397260273973,1.8575342465753424,1,0,0,0,2.0,False,False,False
140,M,0,Commercial associate,Secondary / secondary special,Separated,With parents,28.153424657534245,1.523287671232877,1,1,1,0,1.0,False,True,False
141,M,0,Working,Higher education,Civil marriage,Rented apartment,39.87671232876713,3.3589041095890413,1,1,0,0,2.0,False,True,False
142,M,2,Commercial associate,Higher education,Married,House / apartment,41.49041095890411,17.534246575342465,1,1,0,0,4.0,False,True,False
143,F,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.273972602739725,-1000.6657534246576,1,0,1,0,2.0,False,False,True
144,M,0,Working,Secondary / secondary special,Married,House / apartment,52.38356164383562,10.03013698630137,1,0,0,0,2.0,False,True,False
145,F,2,Commercial associate,Higher education,Married,House / apartment,34.93698630136986,1.1863013698630136,1,0,1,0,4.0,False,False,True
146,M,0,Working,Higher education,Married,House / apartment,54.67945205479453,20.45205479452055,1,0,0,0,2.0,False,True,True
147,F,2,Working,Secondary / secondary special,Married,House / apartment,29.34246575342466,6.441095890410959,1,0,0,0,4.0,True,False,True
148,F,2,Working,Secondary / secondary special,Married,House / apartment,29.34246575342466,6.441095890410959,1,0,0,0,4.0,False,False,True
149,F,0,Working,Incomplete higher,Single / not married,House / apartment,23.23835616438356,4.112328767123287,1,1,0,1,1.0,False,False,True
150,F,2,State servant,Secondary / secondary special,Married,House / apartment,34.76712328767123,12.194520547945206,1,0,0,0,4.0,False,True,True
151,M,0,Working,Secondary / secondary special,Married,House / apartment,44.04383561643836,21.03835616438356,1,0,0,0,2.0,False,True,True
152,F,1,Working,Secondary / secondary special,Married,House / apartment,45.515068493150686,8.863013698630137,1,0,0,0,3.0,False,True,True
153,F,0,State servant,Secondary / secondary special,Married,House / apartment,56.55890410958904,10.610958904109587,1,0,0,0,2.0,False,True,True
154,M,0,Pensioner,Higher education,Single / not married,House / apartment,62.64931506849315,-1000.6657534246576,1,0,0,0,1.0,False,True,True
155,F,0,Working,Incomplete higher,Married,House / apartment,46.13424657534247,10.115068493150686,1,0,0,0,2.0,False,False,True
156,M,1,Commercial associate,Secondary / secondary special,Married,House / apartment,38.19178082191781,1.6904109589041096,1,0,0,0,3.0,False,True,True
157,F,1,Working,Secondary / secondary special,Married,House / apartment,33.78082191780822,7.695890410958904,1,0,1,1,3.0,False,True,False
158,F,2,State servant,Secondary / secondary special,Married,House / apartment,33.53972602739726,5.608219178082192,1,0,0,0,4.0,False,False,True
159,F,1,State servant,Incomplete higher,Civil marriage,House / apartment,29.934246575342467,9.780821917808218,1,0,1,0,3.0,False,False,True
160,F,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,35.33150684931507,1.9424657534246572,1,0,0,0,2.0,False,True,True
161,F,0,Commercial associate,Higher education,Single / not married,With parents,29.67945205479452,6.86027397260274,1,0,0,1,1.0,False,False,False
162,F,0,Working,Secondary / secondary special,Married,House / apartment,56.93698630136986,6.358904109589041,1,0,0,0,2.0,False,False,True
163,M,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.6054794520548,-1000.6657534246576,1,0,1,0,2.0,False,True,True
164,F,0,Working,Secondary / secondary special,Married,House / apartment,59.96986301369863,23.2027397260274,1,1,0,0,2.0,False,False,True
165,F,0,Working,Secondary / secondary special,Married,House / apartment,50.61369863013699,8.276712328767124,1,0,0,1,2.0,False,False,True
166,M,0,Working,Secondary / secondary special,Single / not married,House / apartment,46.50684931506849,6.86027397260274,1,0,1,1,1.0,False,True,True
167,F,0,Working,Secondary / secondary special,Married,House / apartment,45.40547945205479,12.531506849315068,1,0,0,0,2.0,False,False,True
168,F,0,Working,Secondary / secondary special,Widow,House / apartment,50.37808219178082,21.45205479452055,1,0,0,0,1.0,False,False,True
169,F,0,Working,Secondary / secondary special,Married,House / apartment,45.90958904109589,9.610958904109587,1,0,0,0,2.0,False,False,True
170,M,2,Working,Secondary / secondary special,Married,Municipal apartment,34.295890410958904,3.1095890410958904,1,0,0,0,4.0,False,True,False
171,M,0,Working,Secondary / secondary special,Married,House / apartment,57.345205479452055,0.5232876712328767,1,0,1,1,2.0,False,False,True
172,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.23013698630137,4.608219178082192,1,0,0,0,2.0,False,False,False
173,F,2,State servant,Higher education,Married,House / apartment,37.0986301369863,10.863013698630136,1,0,0,0,4.0,False,True,True
174,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.85753424657534,-1000.6657534246576,1,0,0,0,2.0,False,False,True
175,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,60.5972602739726,-1000.6657534246576,1,0,0,0,2.0,False,True,True
176,F,0,Pensioner,Higher education,Widow,House / apartment,58.271232876712325,-1000.6657534246576,1,0,0,1,1.0,False,True,True
177,M,0,Working,Secondary / secondary special,Married,House / apartment,38.821917808219176,2.5232876712328767,1,0,0,0,2.0,False,True,True
178,F,1,Working,Secondary / secondary special,Married,House / apartment,41.08219178082192,14.6986301369863,1,0,0,1,3.0,False,True,True
179,F,2,Working,Secondary / secondary special,Married,House / apartment,35.416438356164385,5.693150684931507,1,1,1,1,4.0,False,False,True
180,M,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.8,-1000.6657534246576,1,0,0,0,2.0,False,True,True
181,F,1,Working,Secondary / secondary special,Married,House / apartment,34.24657534246575,15.786301369863011,1,0,0,0,3.0,False,True,True
182,M,0,Working,Secondary / secondary special,Married,House / apartment,60.59452054794521,4.441095890410959,1,0,1,1,2.0,False,True,True
183,F,0,State servant,Secondary / secondary special,Married,House / apartment,50.68767123287671,5.112328767123287,1,0,0,0,2.0,False,False,True
184,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.35616438356164,1.2712328767123289,1,0,0,0,2.0,False,False,True
185,M,2,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,50.345205479452055,11.6986301369863,1,1,1,1,4.0,False,True,True
186,M,1,Working,Secondary / secondary special,Single / not married,House / apartment,46.01917808219178,18.035616438356165,1,0,1,0,2.0,False,False,False
187,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.74520547945205,13.865753424657534,1,0,1,0,2.0,False,False,True
188,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.93424657534246,-1000.6657534246576,1,0,0,0,2.0,False,True,True
189,M,0,Working,Secondary / secondary special,Married,House / apartment,49.6,3.608219178082192,1,0,0,0,2.0,False,False,True
190,F,0,Pensioner,Higher education,Single / not married,House / apartment,63.56164383561644,-1000.6657534246576,1,0,1,0,1.0,False,False,True
191,M,0,Working,Lower secondary,Married,With parents,27.34520547945205,5.112328767123287,1,0,0,1,2.0,False,True,True
192,F,1,State servant,Secondary / secondary special,Married,House / apartment,48.032876712328765,22.03835616438356,1,0,0,0,3.0,False,True,True
193,M,0,Commercial associate,Incomplete higher,Married,House / apartment,59.1013698630137,5.945205479452055,1,0,0,0,2.0,False,True,True
194,M,0,Working,Secondary / secondary special,Married,House / apartment,45.224657534246575,11.865753424657534,1,0,0,0,2.0,False,True,True
195,M,0,Working,Secondary / secondary special,Married,House / apartment,55.19178082191781,2.8575342465753426,1,0,0,0,2.0,False,True,True
196,F,0,State servant,Secondary / secondary special,Married,House / apartment,54.01095890410959,22.87123287671233,1,0,0,0,2.0,False,True,True
197,M,1,Working,Incomplete higher,Married,House / apartment,37.78082191780822,15.449315068493153,1,1,1,0,3.0,False,False,True
198,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.87123287671233,5.112328767123287,1,0,0,0,2.0,False,False,True
199,F,0,Commercial associate,Secondary / secondary special,Married,House / apartment,55.43287671232877,17.035616438356165,1,1,1,0,2.0,False,False,True
200,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.14520547945206,-1000.6657534246576,1,0,0,0,2.0,False,False,True
201,F,1,Commercial associate,Secondary / secondary special,Married,House / apartment,41.394520547945206,5.358904109589041,1,0,0,0,3.0,False,True,True
202,M,0,Commercial associate,Higher education,Married,House / apartment,26.008219178082197,0.3561643835616438,1,0,0,1,2.0,False,False,False
203,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.64931506849315,-1000.6657534246576,1,0,0,0,2.0,False,False,False
204,M,1,State servant,Incomplete higher,Married,With parents,29.016438356164382,3.2739726027397262,1,0,0,0,3.0,False,True,False
205,F,2,Working,Secondary / secondary special,Separated,House / apartment,40.635616438356166,20.284931506849315,1,1,0,0,3.0,False,False,True
206,M,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.92602739726028,5.526027397260274,1,1,1,0,1.0,False,True,False
207,F,1,Working,Higher education,Separated,House / apartment,26.84931506849315,5.778082191780822,1,0,0,1,2.0,False,True,True
208,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,65.11780821917809,-1000.6657534246576,1,0,0,0,2.0,False,True,True
209,F,0,Commercial associate,Higher education,Married,House / apartment,37.69315068493151,6.945205479452055,1,0,0,1,2.0,False,True,True
210,F,1,Working,Higher education,Married,House / apartment,38.76164383561644,4.358904109589041,1,1,1,0,3.0,False,True,True
211,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.87397260273973,-1000.6657534246576,1,0,0,0,2.0,False,False,True
212,M,1,Working,Secondary / secondary special,Separated,House / apartment,36.78082191780822,8.610958904109589,1,0,0,0,2.0,False,True,False
213,F,0,Working,Secondary / secondary special,Married,House / apartment,42.945205479452056,0.7753424657534247,1,0,0,1,2.0,False,False,True
214,F,1,Working,Secondary / secondary special,Married,House / apartment,30.43013698630137,0.3561643835616438,1,0,0,0,3.0,False,True,False
215,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.95342465753425,-1000.6657534246576,1,0,0,0,2.0,False,False,True
216,F,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.9041095890411,-1000.6657534246576,1,0,0,0,2.0,False,False,True
